query_number,neighbourhood_group,average_price,room_type,listing_count,average_availability_days,neighbourhood,listings_above_overall_average,host_id,total_reviews,average_reviews_per_listing,id,price,average_room_price,difference_from_room_average
1,Manhattan,196.88,,,,,,,,,,,,
1,Brooklyn,124.38,,,,,,,,,,,,
1,Staten Island,114.81,,,,,,,,,,,,
1,Queens,99.52,,,,,,,,,,,,
1,Bronx,87.5,,,,,,,,,,,,
2,,,Entire home/apt,25409.0,,,,,,,,,,
2,,,Private room,22326.0,,,,,,,,,,
2,,,Shared room,1160.0,,,,,,,,,,
3,,211.79,Entire home/apt,,,,,,,,,,,
3,,89.78,Private room,,,,,,,,,,,
3,,70.13,Shared room,,,,,,,,,,,
4,,,Shared room,,162.0,,,,,,,,,
4,,,Entire home/apt,,111.92,,,,,,,,,
4,,,Private room,,111.2,,,,,,,,,
5,,490.64,,177.0,,Tribeca,,,,,,,,
5,,442.09,,11.0,,Riverdale,,,,,,,,
5,,367.56,,70.0,,Battery Park City,,,,,,,,
5,,341.93,,80.0,,Flatiron District,,,,,,,,
5,,336.0,,19.0,,Randall Manor,,,,,,,,
5,,295.72,,78.0,,NoHo,,,,,,,,
5,,287.1,,358.0,,SoHo,,,,,,,,
5,,282.72,,1545.0,,Midtown,,,,,,,,
5,,267.68,,768.0,,West Village,,,,,,,,
5,,263.41,,392.0,,Greenwich Village,,,,,,,,
6,,,,,,,14879.0,,,,,,,
7,,253.2,,327.0,,,,219517861.0,,,,,,
7,,303.15,,232.0,,,,107434423.0,,,,,,
7,,277.53,,121.0,,,,30283594.0,,,,,,
7,,43.83,,103.0,,,,137358866.0,,,,,,
7,,213.03,,96.0,,,,12243051.0,,,,,,
7,,208.96,,96.0,,,,16098958.0,,,,,,
7,,146.24,,91.0,,,,61391963.0,,,,,,
7,,215.44,,87.0,,,,22541573.0,,,,,,
7,,290.23,,65.0,,,,200380610.0,,,,,,
7,,149.19,,52.0,,,,7503643.0,,,,,,
8,Brooklyn,,,20104.0,,,,,486574.0,24.2,,,,
8,Manhattan,,,21661.0,,,,,454569.0,20.99,,,,
8,Queens,,,5666.0,,,,,156950.0,27.7,,,,
8,Bronx,,,1091.0,,,,,28371.0,26.0,,,,
8,Staten Island,,,373.0,,,,,11541.0,30.94,,,,
9,,,Private room,,,,,,,,7003697.0,10000.0,89.781,9910.22
9,,,Private room,,,,,,,,9528920.0,9999.0,89.781,9909.22
9,,,Entire home/apt,,,,,,,,13894339.0,10000.0,211.7942,9788.21
9,,,Entire home/apt,,,,,,,,22436899.0,10000.0,211.7942,9788.21
9,,,Entire home/apt,,,,,,,,4737930.0,9999.0,211.7942,9787.21
9,,,Entire home/apt,,,,,,,,31340283.0,9999.0,211.7942,9787.21
9,,,Entire home/apt,,,,,,,,23377410.0,8500.0,211.7942,8288.21
9,,,Entire home/apt,,,,,,,,2953058.0,8000.0,211.7942,7788.21
9,,,Entire home/apt,,,,,,,,22779726.0,7703.0,211.7942,7491.21
9,,,Private room,,,,,,,,34895693.0,7500.0,89.781,7410.22
10,,800.0,,1.0,,Fort Wadsworth,,,,,,,,
10,,700.0,,1.0,,Woodrow,,,,,,,,
10,,490.64,,177.0,,Tribeca,,,,,,,,
10,,487.86,,7.0,,Sea Gate,,,,,,,,
10,,442.09,,11.0,,Riverdale,,,,,,,,
10,,409.5,,4.0,,Prince's Bay,,,,,,,,
10,,367.56,,70.0,,Battery Park City,,,,,,,,
10,,341.93,,80.0,,Flatiron District,,,,,,,,
10,,336.0,,19.0,,Randall Manor,,,,,,,,
10,,295.72,,78.0,,NoHo,,,,,,,,
